round_epochs,loss,acc,val_loss,val_acc,lr,optimizer,activation,dropout,regularization,loss_functions,layers,layer_size,batch_size
11,0.3719713345368703,0.82733333,0.5128300642216956,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,1,300,64
11,0.37519145488823175,0.82755554,0.5049094857592656,0.793007,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,3,300,4
11,0.37143036739031476,0.8252222,0.4877981153818277,0.7909091,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,3,100,64
14,0.37299102216296726,0.8231111,0.4901164249106721,0.7916084,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,1,100,64
12,0.376482223722935,0.8232222,0.49510293923370485,0.7937063,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,1,100,4
11,0.6382130398750305,0.8231111,0.7274360664240964,0.7895105,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,64
15,0.36816335972150166,0.8258889,0.5048816192400205,0.7916084,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,3,100,64
11,0.4147593284183078,0.822,0.4921122743533208,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,100,64
11,0.3710302227681358,0.8258889,0.5093242242359198,0.7951049,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,300,4
11,0.3714792322847578,0.82655555,0.5040012027417029,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,1,300,64
11,0.39494744566745227,0.8247778,0.5287517985107598,0.7944056,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,100,4
11,0.37441031006402853,0.827,0.4838465817324765,0.7937063,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,4
