Wall time,Step,Value
1554928042.1330013,1,0.6305763721466064
1554928257.413411,2,0.6211807727813721
1554928471.4547458,3,0.6013332009315491
1554928714.0661328,4,0.5943459868431091
1554928907.449305,5,0.5885103344917297
1554929109.5350251,6,0.5814828872680664
1554929351.8089676,7,0.5746448040008545
1554929558.4251866,8,0.5754513144493103
1554929765.8486526,9,0.5699963569641113
1554929964.832728,10,0.5701711773872375
1554930168.1787362,11,0.5660903453826904
1554930370.9664018,12,0.5699204802513123
1554930577.2947602,13,0.566013753414154
1554930778.965311,14,0.5617117881774902
1554931012.206191,15,0.5601860284805298
1554931215.3102438,16,0.5590711236000061
1554931464.5256221,17,0.5622644424438477
1554931662.2329667,18,0.5558942556381226
1554931914.3985639,19,0.5551213622093201
1554932113.2743647,20,0.5551019906997681
1554932316.059003,21,0.5524322986602783
1554932542.8351417,22,0.5527636408805847
1554932743.5472782,23,0.5493385195732117
1554932946.7577977,24,0.5515245199203491
1554933176.788559,25,0.5478634238243103
1554933396.4720912,26,0.5474945306777954
1554933643.589639,27,0.5445287823677063
1554933860.8663404,28,0.5477541089057922
1554934065.3285203,29,0.5475132465362549
1554934268.1648147,30,0.543062686920166
1554934471.3977647,31,0.5424095392227173
1554934705.5174754,32,0.5446944832801819
1554934908.0557146,33,0.5427884459495544
1554935135.0704558,34,0.5395554304122925
1554935334.5812,35,0.5402741432189941
1554935535.1191905,36,0.5371214747428894
1554935780.8181324,37,0.5363079905509949
1554936013.3839734,38,0.5341679453849792
1554936213.3929718,39,0.5367728471755981
1554936439.7470622,40,0.5358032584190369
1554936646.8195884,41,0.5343434810638428
1554936895.8371484,42,0.5378513336181641
1554937132.2401698,43,0.538730800151825
1554937336.0746446,44,0.5312209725379944
1554937537.7612417,45,0.5335571765899658
1554937747.4506354,46,0.5299585461616516
1554937952.4471781,47,0.5330556631088257
1554938172.912835,48,0.5303643345832825
1554938379.0954626,49,0.5286130905151367
1554938585.1787837,50,0.5275943875312805
1554938815.5400956,51,0.5292600393295288
1554939057.8678606,52,0.5296151041984558
1554939303.7593062,53,0.5242096781730652
1554939504.8613007,54,0.526718258857727
1554939710.0576122,55,0.5259642004966736
1554939915.4568565,56,0.5235734581947327
1554940146.08674,57,0.5259993076324463
1554940344.7970402,58,0.5251206159591675
1554940540.6331892,59,0.5261468887329102
1554940753.1562183,60,0.5268841981887817
1554940975.4341118,61,0.5235654711723328
1554941174.4959974,62,0.5202486515045166
1554941419.9382775,63,0.5198602080345154
1554941656.2979026,64,0.5226315855979919
1554941887.17154,65,0.5218998193740845
1554942085.787915,66,0.5226978063583374
1554942280.1459095,67,0.5172595977783203
1554942498.59393,68,0.5177757143974304
1554942692.979268,69,0.5186139345169067
1554942897.0698314,70,0.5195306539535522
1554943142.85853,71,0.5151193141937256
1554943370.709098,72,0.5155056118965149
1554943576.6264162,73,0.5157855153083801
1554943818.7907789,74,0.5160923600196838
1554944026.7447486,75,0.5180162191390991
1554944249.132328,76,0.5175103545188904
1554944453.8476293,77,0.5138081312179565
1554944649.916101,78,0.5141340494155884
1554944890.679934,79,0.5144481658935547
1554945092.9330373,80,0.5111539363861084
1554945334.9329696,81,0.5131901502609253
1554945556.681402,82,0.5148910284042358
1554945806.991384,83,0.5108937621116638
1554946000.4276662,84,0.5122694373130798
1554946200.9624834,85,0.5106131434440613
1554946408.226457,86,0.5107871294021606
1554946634.550361,87,0.5087807774543762
1554946885.230361,88,0.5101630687713623
1554947084.666089,89,0.5095139145851135
1554947292.2364948,90,0.512377917766571
1554947489.133202,91,0.509081244468689
1554947734.1269143,92,0.5085735321044922
1554947933.5939023,93,0.5110207796096802
1554948167.8367517,94,0.5034682154655457
1554948371.8872755,95,0.5087031722068787
1554948583.349288,96,0.5063988566398621
1554948786.2394233,97,0.5081987380981445
1554949033.8309,98,0.5046765804290771
1554949234.3992712,99,0.5064183473587036
1554949437.6531098,100,0.5055106282234192
1554949689.32468,101,0.5075254440307617
1554949888.5525348,102,0.5046114921569824
1554950123.1159449,103,0.5013160705566406
1554950317.6102924,104,0.49976128339767456
1554950518.8712716,105,0.5030495524406433
1554950766.0366714,106,0.5047898888587952
1554951016.5550995,107,0.5005590319633484
1554951215.5609117,108,0.5014983415603638
1554951431.5577521,109,0.5021784901618958
1554951626.3822296,110,0.501366138458252
1554951881.6313245,111,0.502219021320343
1554952101.592723,112,0.5007995963096619
1554952335.7807248,113,0.5016421675682068
1554952541.497149,114,0.49703460931777954
1554952772.6420841,115,0.5009459257125854
1554952968.413177,116,0.4984656572341919
1554953168.2188811,117,0.49875903129577637
1554953373.6375768,118,0.5008955597877502
1554953593.9918146,119,0.498432457447052
1554953840.2027645,120,0.5011693239212036
1554954080.3558943,121,0.4975438117980957
1554954329.2077255,122,0.4985501170158386
1554954528.0167885,123,0.4976099133491516
1554954746.0153646,124,0.4947088360786438
1554954968.1883957,125,0.496512234210968
1554955196.8884778,126,0.49713873863220215
1554955449.6582,127,0.4973384141921997
1554955692.2514796,128,0.49582430720329285
1554955913.6052208,129,0.4968818128108978
1554956161.1197047,130,0.4936448335647583
1554956353.5044203,131,0.495000422000885
1554956555.4992642,132,0.49496206641197205
1554956757.7207963,133,0.49285560846328735
1554956986.224533,134,0.4967271685600281
1554957209.8254437,135,0.4922510087490082
1554957412.7439365,136,0.49215903878211975
1554957620.1559806,137,0.4900277853012085
1554957849.6727352,138,0.49190592765808105
1554958067.6932235,139,0.49329692125320435
1554958268.0393872,140,0.4923689067363739
1554958515.7790525,141,0.49026885628700256
1554958716.0653448,142,0.4917128086090088
1554958943.229219,143,0.48853495717048645
1554959137.385689,144,0.48915255069732666
1554959343.0750122,145,0.4903063178062439
1554959587.1936593,146,0.4899880290031433
1554959832.6412292,147,0.4876992404460907
1554960048.7804894,148,0.4884481430053711
1554960248.7039244,149,0.4840191602706909
1554960451.138673,150,0.4855538308620453
1554960696.45296,151,0.48728489875793457
1554960898.3685296,152,0.4848688542842865
1554961106.837766,153,0.4865010678768158
1554961358.865118,154,0.4869943857192993
1554961607.198555,155,0.482804536819458
1554961855.140446,156,0.4870920181274414
1554962102.1973157,157,0.4832351803779602
1554962304.284893,158,0.48357143998146057
1554962507.456095,159,0.4851347804069519
1554962716.7193022,160,0.4858458340167999
1554962920.5536277,161,0.482944130897522
1554963174.395631,162,0.4845276474952698
1554963393.8485818,163,0.4802420735359192
1554979243.904514,164,0.48246273398399353
1554979440.8152885,165,0.4820699691772461
1554979665.585082,166,0.4810252785682678
1554979900.801396,167,0.4803861975669861
1554980114.8015811,168,0.482097864151001
1554980335.5998173,169,0.4802091717720032
1554980569.6763003,170,0.4764830768108368
1554980788.1580992,171,0.4803394079208374
1554981043.400488,172,0.4771575331687927
1554981265.1617475,173,0.4777611494064331
1554981485.9783092,174,0.47614336013793945
1554981708.251927,175,0.4808773696422577
1554981944.10796,176,0.47772619128227234
1554982180.1850383,177,0.4748440682888031
1554982411.308164,178,0.4739105701446533
1554982636.8111367,179,0.4728667438030243
1554982864.7637727,180,0.47658658027648926
1554983099.2921052,181,0.47200673818588257
1554983323.336261,182,0.4709908962249756
1554983545.4507067,183,0.47252658009529114
1554983769.2166042,184,0.47237756848335266
1554983995.0202107,185,0.47291097044944763
1554984237.794704,186,0.46958640217781067
