Wall time,Step,Value
1556451875.7737758,1,0.6683333516120911
1556452368.845421,2,0.6683333516120911
1556452870.2306895,3,0.7153333425521851
1556453366.0844836,4,0.723111093044281
1556453868.529771,5,0.718999981880188
1556454355.0263152,6,0.7361111044883728
1556454868.8458915,7,0.7597777843475342
1556455381.7811255,8,0.778333306312561
1556455928.6561065,9,0.7398889064788818
1556456446.010521,10,0.7675555348396301
1556457024.3133104,11,0.7816666960716248
1556457566.7190104,12,0.7933333516120911
1556458103.6656544,13,0.6702222228050232
1556458635.3485622,14,0.7494444251060486
1556459172.821572,15,0.7508888840675354
1556467668.940393,16,0.7477777600288391
1556468221.140952,17,0.7775555849075317
1556468775.556256,18,0.6583333611488342
1556469308.0215008,19,0.6705555319786072
1556469793.4488869,20,0.6596666574478149
1556470284.573786,21,0.6836666464805603
1556470775.224166,22,0.6942222118377686
1556471263.0437224,23,0.6998888850212097
1556471758.0585978,24,0.6926666498184204
1556472243.278885,25,0.6925555467605591
1556472728.475156,26,0.7166666388511658
1556473212.4143813,27,0.725777804851532
1556473698.8376856,28,0.7378888726234436
1556474182.1386385,29,0.7404444217681885
1556474665.7809908,30,0.733222246170044
1556475149.320972,31,0.7342222332954407
1556475634.2724245,32,0.7494444251060486
1556476117.7081242,33,0.7448889017105103
1556476605.7668867,34,0.7563333511352539
1556477094.587611,35,0.7484444379806519
1556477580.3185995,36,0.7398889064788818
1556478066.3328304,37,0.7601110935211182
1556478553.0132782,38,0.761888861656189
1556479039.8742447,39,0.7576666474342346
1556479524.9140794,40,0.7572222352027893
1556480008.8089774,41,0.7532222270965576
1556480492.912318,42,0.7664444446563721
1556480976.3754165,43,0.7677778005599976
1556481461.8441122,44,0.7692221999168396
1556481948.3929129,45,0.7696666717529297
1556482434.3323429,46,0.7580000162124634
1556482924.6101708,47,0.7724444270133972
1556483407.9166427,48,0.7692221999168396
1556483892.1376686,49,0.7746666669845581
1556484376.3267798,50,0.6701111197471619
1556484861.668807,51,0.6746666431427002
1556485346.1431558,52,0.6786666512489319
1556485835.8355489,53,0.6728888750076294
1556486319.6486666,54,0.6962222456932068
1556486804.4727004,55,0.7018888592720032
1556487288.6477306,56,0.6836666464805603
1556487770.2557442,57,0.7136666774749756
1556488255.6506317,58,0.7289999723434448
1556488738.0518658,59,0.7355555295944214
1556489221.6535902,60,0.7316666841506958
1556489705.7010794,61,0.7472222447395325
1556490185.4520602,62,0.6728888750076294
1556490662.2140443,63,0.7009999752044678
1556491142.2522562,64,0.727222204208374
1556491623.0773637,65,0.7353333234786987
1556492110.8431685,66,0.7498888969421387
1556492594.587469,67,0.7584444284439087
1556493079.283505,68,0.7558888792991638
1556493565.8592334,69,0.7636666893959045
1556494052.3840976,70,0.7538889050483704
1556494581.8850827,71,0.7735555768013
1556495110.635023,72,0.7763333320617676
1556495639.588419,73,0.7594444155693054
1556496166.4744003,74,0.7782222032546997
1556496695.7259989,75,0.7711111307144165
1556497217.796801,76,0.7821111083030701
1556497702.6172802,77,0.7815555334091187
1556498190.4875474,78,0.7698888778686523
1556498675.7757187,79,0.7691110968589783
1556499160.7028553,80,0.7664444446563721
1556499645.9082494,81,0.7132222056388855
1556500130.4165065,82,0.7883333563804626
1556500613.7808244,83,0.7696666717529297
1556501097.4424407,84,0.7908889055252075
1556501583.1016266,85,0.7878888845443726
1556502064.9645042,86,0.7893333435058594
1556502545.691874,87,0.7943333387374878
1556503027.6788738,88,0.7751111388206482
1556503511.575767,89,0.7948889136314392
1556503998.621239,90,0.7958889007568359
1556504489.285034,91,0.7967777848243713
1556504971.4405835,92,0.7986666560173035
1556505454.2018461,93,0.7916666865348816
1556505942.9368002,94,0.7987777590751648
1556506426.6392124,95,0.7973333597183228
1556506910.7495344,96,0.7517777681350708
1556507396.2117045,97,0.7990000247955322
1556507880.132534,98,0.7953333258628845
1556508363.7783027,99,0.7734444737434387
1556508850.066798,100,0.7950000166893005
1556509337.6398604,101,0.7997778058052063
1556509823.1304896,102,0.7864444255828857
1556510307.9831398,103,0.8006666898727417
1556510795.2951229,104,0.7990000247955322
1556511278.4121013,105,0.796999990940094
1556511762.7997134,106,0.7972221970558167
1556512247.8784451,107,0.7856666445732117
1556512732.5353057,108,0.7987777590751648
1556513216.4122517,109,0.8058888912200928
1556513697.4537804,110,0.8025555610656738
1556514180.5208926,111,0.8065555691719055
1556514662.312415,112,0.8066666722297668
1556515146.3529243,113,0.7995555400848389
1556515628.7179132,114,0.8074444532394409
1556516115.5768838,115,0.8065555691719055
1556516598.6779056,116,0.8059999942779541
1556517081.2938542,117,0.8076666593551636
1556517570.3379822,118,0.7876666784286499
1556518056.2325323,119,0.7901111245155334
1556518540.9891255,120,0.8051111102104187
1556521268.044321,121,0.8065555691719055
1556521787.7208447,122,0.8083333373069763
1556522321.1804464,123,0.8100000023841858
1556522856.1501198,124,0.8131111264228821
1556523378.6793184,125,0.7946666479110718
1556523903.160512,126,0.8083333373069763
1556524430.5109057,127,0.8073333501815796
1556524964.1862047,128,0.8134444355964661
1556525486.7500713,129,0.8024444580078125
1556525990.8168685,130,0.8047778010368347
1556526492.6105509,131,0.8084444403648376
1556527012.9842916,132,0.8125555515289307
1556527556.7998462,133,0.8067777752876282
1556528092.816368,134,0.8073333501815796
1556528592.320521,135,0.8067777752876282
1556529098.2812471,136,0.8096666932106018
1556529595.5998223,137,0.8103333115577698
1556530092.7462847,138,0.8140000104904175
1556530609.810368,139,0.8130000233650208
1556531106.9168477,140,0.8137778043746948
1556531600.9315438,141,0.8117777705192566
1556532099.2793734,142,0.8147777915000916
1556532594.8629124,143,0.8134444355964661
1556533101.2587059,144,0.8108888864517212
1556533659.4425418,145,0.8154444694519043
1556534243.8953793,146,0.8157777786254883
1556535868.8429673,147,0.8165555596351624
1556536429.064524,148,0.8117777705192566
1556536976.1969676,149,0.8141111135482788
1556537513.9255016,150,0.8151111006736755
1556538050.314002,151,0.8068888783454895
1556538568.2225103,152,0.8159999847412109
1556539084.3063245,153,0.8136666417121887
1556539626.9511266,154,0.8173333406448364
1556540208.4283078,155,0.8115555644035339
1556540736.661264,156,0.8119999766349792
1556541320.6787574,157,0.8130000233650208
1556541938.369682,158,0.8168888688087463
1556559695.8305414,159,0.8176666498184204
1556560188.1325786,160,0.8152222037315369
1556560680.3601916,161,0.8165555596351624
1556561185.978112,162,0.8157777786254883
1556561678.493956,163,0.8108888864517212
1556562174.1266582,164,0.8183333277702332
1556562668.68753,165,0.815666675567627
1556563160.6598263,166,0.8188889026641846
1556563652.498481,167,0.8143333196640015
1556564143.0854816,168,0.8152222037315369
1556564631.8812726,169,0.8159999847412109
1556565119.2917695,170,0.8175555467605591
1556565610.8182566,171,0.8163333535194397
1556566101.3344479,172,0.8154444694519043
1556566596.9619677,173,0.8183333277702332
1556567087.5310173,174,0.8178889155387878
